component,npv_cost
TotalGenFixedCosts,66933178.83271369
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,30839339.46723988
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,23015983.47040823
