component,npv_cost
TotalGenFixedCosts,70763089.91330308
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,29243433.3327808
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,20781978.52427791
