generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,TotalDispatchGWh
N-Nuclear,2035011512,N-Nuclear,Nuclear,North,Uranium,8766,2030,0,0,0,0,0
N-Biomass_IGCC,2025011500,N-Biomass_IGCC,Biomass_IGCC,North,BioSolid,1095.744,2020,0,0,0,0,0
N-Biomass_IGCC,2025011512,N-Biomass_IGCC,Biomass_IGCC,North,BioSolid,1095.744,2020,0,0,0,0,0
N-Biomass_IGCC,2025011600,N-Biomass_IGCC,Biomass_IGCC,North,BioSolid,1095.744,2020,0,0,0,0,0
N-Biomass_IGCC,2025011612,N-Biomass_IGCC,Biomass_IGCC,North,BioSolid,1095.744,2020,0,0,0,0,0
N-Biomass_IGCC,2025061500,N-Biomass_IGCC,Biomass_IGCC,North,BioSolid,2191.5,2020,0,0,0,0,0
N-Biomass_IGCC,2025061512,N-Biomass_IGCC,Biomass_IGCC,North,BioSolid,2191.5,2020,0,0,0,0,0
N-Biomass_IGCC,2035011512,N-Biomass_IGCC,Biomass_IGCC,North,BioSolid,8766,2030,0,0,0,0,0
N-Biomass_IGCC_CCS,2035011512,N-Biomass_IGCC_CCS,Biomass_IGCC_CCS,North,BioSolid,8766,2030,0,0,0,0,0
N-Residential_PV,2025011500,N-Residential_PV,Residential_PV,North,Solar,1095.744,2020,0,0,0,0,0
N-Residential_PV,2025011512,N-Residential_PV,Residential_PV,North,Solar,1095.744,2020,0,0,0,0,0
N-Residential_PV,2025011600,N-Residential_PV,Residential_PV,North,Solar,1095.744,2020,0,0,0,0,0
N-Residential_PV,2025011612,N-Residential_PV,Residential_PV,North,Solar,1095.744,2020,0,0,0,0,0
N-Residential_PV,2025061500,N-Residential_PV,Residential_PV,North,Solar,2191.5,2020,0,0,0,0,0
N-Residential_PV,2025061512,N-Residential_PV,Residential_PV,North,Solar,2191.5,2020,0,0,0,0,0
N-Residential_PV,2035011512,N-Residential_PV,Residential_PV,North,Solar,8766,2030,0,0,0,0,0
N-Commercial_PV,2025011500,N-Commercial_PV,Commercial_PV,North,Solar,1095.744,2020,0,0,0,0,0
N-Commercial_PV,2025011512,N-Commercial_PV,Commercial_PV,North,Solar,1095.744,2020,0,0,0,0,0
N-Commercial_PV,2025011600,N-Commercial_PV,Commercial_PV,North,Solar,1095.744,2020,0,0,0,0,0
N-Commercial_PV,2025011612,N-Commercial_PV,Commercial_PV,North,Solar,1095.744,2020,0,0,0,0,0
N-Commercial_PV,2025061500,N-Commercial_PV,Commercial_PV,North,Solar,2191.5,2020,0,0,0,0,0
N-Commercial_PV,2025061512,N-Commercial_PV,Commercial_PV,North,Solar,2191.5,2020,0,0,0,0,0
N-Commercial_PV,2035011512,N-Commercial_PV,Commercial_PV,North,Solar,8766,2030,0,0,0,0,0
N-Central_PV-1,2025011500,N-Central_PV-1,Central_PV,North,Solar,1095.744,2020,0,0,0,0,0
N-Central_PV-1,2025011512,N-Central_PV-1,Central_PV,North,Solar,1095.744,2020,0,0,0,0,0
N-Central_PV-1,2025011600,N-Central_PV-1,Central_PV,North,Solar,1095.744,2020,0,0,0,0,0
N-Central_PV-1,2025011612,N-Central_PV-1,Central_PV,North,Solar,1095.744,2020,0,0,0,0,0
N-Central_PV-1,2025061500,N-Central_PV-1,Central_PV,North,Solar,2191.5,2020,0,0,0,0,0
N-Central_PV-1,2025061512,N-Central_PV-1,Central_PV,North,Solar,2191.5,2020,0,0,0,0,0
N-Central_PV-1,2035011512,N-Central_PV-1,Central_PV,North,Solar,8766,2030,0,0,0,0,0
N-Central_PV-2,2025011500,N-Central_PV-2,Central_PV,North,Solar,1095.744,2020,0,0,0,0,0
N-Central_PV-2,2025011512,N-Central_PV-2,Central_PV,North,Solar,1095.744,2020,0,0,0,0,0
N-Central_PV-2,2025011600,N-Central_PV-2,Central_PV,North,Solar,1095.744,2020,0,0,0,0,0
N-Central_PV-2,2025011612,N-Central_PV-2,Central_PV,North,Solar,1095.744,2020,0,0,0,0,0
N-Central_PV-2,2025061500,N-Central_PV-2,Central_PV,North,Solar,2191.5,2020,0,0,0,0,0
N-Central_PV-2,2025061512,N-Central_PV-2,Central_PV,North,Solar,2191.5,2020,0,0,0,0,0
N-Central_PV-2,2035011512,N-Central_PV-2,Central_PV,North,Solar,8766,2030,0,0,0,0,0
N-Wind-1,2025011500,N-Wind-1,Wind,North,Wind,1095.744,2020,0,0,0,0,0
N-Wind-1,2025011512,N-Wind-1,Wind,North,Wind,1095.744,2020,0,0,0,0,0
N-Wind-1,2025011600,N-Wind-1,Wind,North,Wind,1095.744,2020,0,0,0,0,0
N-Wind-1,2025011612,N-Wind-1,Wind,North,Wind,1095.744,2020,0,0,0,0,0
N-Wind-1,2025061500,N-Wind-1,Wind,North,Wind,2191.5,2020,0,0,0,0,0
N-Wind-1,2025061512,N-Wind-1,Wind,North,Wind,2191.5,2020,0,0,0,0,0
N-Wind-1,2035011512,N-Wind-1,Wind,North,Wind,8766,2030,3.1808,27.8828928,0,0,278.828928
N-Wind-2,2025011500,N-Wind-2,Wind,North,Wind,1095.744,2020,-1.35E-15,-1.48E-15,0,0,-1.47849E-14
N-Wind-2,2025011512,N-Wind-2,Wind,North,Wind,1095.744,2020,0,0,0,0,0
N-Wind-2,2025011600,N-Wind-2,Wind,North,Wind,1095.744,2020,0,0,0,0,0
N-Wind-2,2025011612,N-Wind-2,Wind,North,Wind,1095.744,2020,5.83E-16,6.39E-16,0,0,6.38673E-15
N-Wind-2,2025061500,N-Wind-2,Wind,North,Wind,2191.5,2020,-2.00E-15,-4.38E-15,0,0,-4.3795E-14
N-Wind-2,2025061512,N-Wind-2,Wind,North,Wind,2191.5,2020,-6.66E-16,-1.46E-15,0,0,-1.45983E-14
N-Wind-2,2035011512,N-Wind-2,Wind,North,Wind,8766,2030,0.86478,7.58066148,0,0,75.8066148
C-Coal_IGCC,2025011500,C-Coal_IGCC,Coal_IGCC,Central,Coal,1095.744,2020,1.84E-15,2.01E-15,9.80E-12,1.53E-12,2.01459E-14
C-Coal_IGCC,2025011512,C-Coal_IGCC,Coal_IGCC,Central,Coal,1095.744,2020,1.84E-15,2.01E-15,9.80E-12,1.53E-12,2.01459E-14
C-Coal_IGCC,2025011600,C-Coal_IGCC,Coal_IGCC,Central,Coal,1095.744,2020,1.84E-15,2.01E-15,9.80E-12,1.53E-12,2.01459E-14
C-Coal_IGCC,2025011612,C-Coal_IGCC,Coal_IGCC,Central,Coal,1095.744,2020,1.84E-15,2.01E-15,9.80E-12,1.53E-12,2.01459E-14
C-Coal_IGCC,2025061500,C-Coal_IGCC,Coal_IGCC,Central,Coal,2191.5,2020,0,0,0,0,0
C-Coal_IGCC,2025061512,C-Coal_IGCC,Coal_IGCC,Central,Coal,2191.5,2020,1.84E-15,4.03E-15,1.96E-11,3.06E-12,4.0292E-14
C-Coal_IGCC,2035011512,C-Coal_IGCC,Coal_IGCC,Central,Coal,8766,2030,0,0,0,0,0
