GEN_TPS_1,GEN_TPS_2,DispatchGen,ts_duration_of_tp,ts_num_tps,ts_scale_to_period,VariableDispatchGWh
C-Residential_PV,7,0,24,1,3652.5,0
C-Commercial_PV,1,0,12,4,913.12,0
C-Commercial_PV,2,0,12,4,913.12,0
C-Commercial_PV,3,0,12,4,913.12,0
C-Commercial_PV,4,0,12,4,913.12,0
C-Commercial_PV,5,0,12,2,1826.25,0
C-Commercial_PV,6,0,12,2,1826.25,0
C-Commercial_PV,7,0,24,1,3652.5,0
C-Central_PV-1,1,0,12,4,913.12,0
C-Central_PV-1,2,0,12,4,913.12,0
C-Central_PV-1,3,0,12,4,913.12,0
C-Central_PV-1,4,0,12,4,913.12,0
C-Central_PV-1,5,0,12,2,1826.25,0
C-Central_PV-1,6,0,12,2,1826.25,0
C-Central_PV-1,7,0,24,1,3652.5,0
C-Central_PV-2,1,0,12,4,913.12,0
C-Central_PV-2,2,-5.55E-17,12,4,913.12,-6.0826E-16
C-Central_PV-2,3,0,12,4,913.12,0
C-Central_PV-2,4,-2.60E-15,12,4,913.12,-2.84346E-14
C-Central_PV-2,5,0,12,2,1826.25,0
C-Central_PV-2,6,0,12,2,1826.25,0
C-Central_PV-2,7,0,24,1,3652.5,0
C-Wind-1,1,0,12,4,913.12,0
C-Wind-1,2,0,12,4,913.12,0
C-Wind-1,3,0,12,4,913.12,0
C-Wind-1,4,0,12,4,913.12,0
C-Wind-1,5,0,12,2,1826.25,0
C-Wind-1,6,0,12,2,1826.25,0
C-Wind-1,7,3.1808,24,1,3652.5,278.828928
C-Wind-2,1,0,12,4,913.12,0
C-Wind-2,2,0,12,4,913.12,0
C-Wind-2,3,0,12,4,913.12,0
C-Wind-2,4,0,12,4,913.12,0
C-Wind-2,5,0,12,2,1826.25,0
C-Wind-2,6,-9.92E-17,12,2,1826.25,-2.17422E-15
C-Wind-2,7,2.56452,24,1,3652.5,224.8058232
S-Geothermal,1,2.90574225,,,,
S-Geothermal,2,2.90574225,,,,
S-Geothermal,3,2.90574225,,,,
S-Geothermal,4,2.90574225,,,,
S-Geothermal,5,2.90574225,,,,
S-Geothermal,6,2.90574225,,,,
S-Geothermal,7,2.90574225,,,,
S-NG_CC,1,4.127479495,12,4,913.12,45.22660892
S-NG_CC,2,4.486021214,12,4,913.12,49.15530829
S-NG_CC,3,3.958038109,12,4,913.12,43.3699651
S-NG_CC,4,4.697214455,12,4,913.12,51.46944556
S-NG_CC,5,4.7,12,2,1826.25,103.0005
S-NG_CC,6,4.7,12,2,1826.25,103.0005
S-NG_CC,7,0,24,1,3652.5,0
S-NG_CC_CCS,7,0,24,1,3652.5,0
S-NG_GT,1,0,12,4,913.12,0
S-NG_GT,2,0,12,4,913.12,0
S-NG_GT,3,0,12,4,913.12,0
S-NG_GT,4,0,12,4,913.12,0
S-NG_GT,5,0,12,2,1826.25,0
S-NG_GT,6,1.376897344,12,2,1826.25,30.1747053
S-NG_GT,7,0,24,1,3652.5,0
S-Biomass_IGCC,1,0,,,,
S-Biomass_IGCC,2,0,,,,
S-Biomass_IGCC,3,0,,,,
S-Biomass_IGCC,4,0,,,,
S-Biomass_IGCC,5,0,,,,
S-Biomass_IGCC,6,0,,,,
S-Biomass_IGCC,7,0,,,,
S-Biomass_IGCC_CCS,7,0,,,,
S-Residential_PV,1,0,12,4,913.12,0
S-Residential_PV,2,0,12,4,913.12,0
S-Residential_PV,3,0,12,4,913.12,0
S-Residential_PV,4,1.46E-15,12,4,913.12,1.60094E-14
S-Residential_PV,5,0,12,2,1826.25,0
S-Residential_PV,6,0,12,2,1826.25,0
S-Residential_PV,7,0,24,1,3652.5,0
