component,npv_cost
TotalGenFixedCosts,70021540.06610098
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,35403535.44778701
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,22100080.67793826
