gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass_IGCC,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC_CCS,BioSolid,2030,0.0,0.0,0.0
Central_PV,Solar,2020,1.0244380782272566e-16,0.0,0.0
Central_PV,Solar,2030,10.566536400000087,0.0,0.0
Coal_IGCC,Coal,2020,9.687519955459276,47137.14709847553,7356.547653856493
Coal_IGCC,Coal,2030,54.08513854996957,263165.3037508999,41071.38885263005
Coal_IGCC_CCS,Coal,2030,31.533151218063058,310853.80470766564,4689.7565629719875
Coal_ST,Coal,2020,29.664062784,103824.219744,26209.97931343104
Coal_ST,Coal,2030,14.832072,50429.044799999996,12750.835656959998
Commercial_PV,Solar,2020,0.0,0.0,0.0
Commercial_PV,Solar,2030,2.4053904,0.0,0.0
Geothermal,Geothermal,2020,33.962222434248,1126000.5036962754,0.0
Geothermal,Geothermal,2030,33.962315418,1126003.5865260807,0.0
NG_CC,NaturalGas,2020,65.53819303613659,242324.72564666247,23316.345983345112
NG_CC,NaturalGas,2030,1.7254446088311306e-14,4.542444235243639e-11,-2.0774423193703507e-12
NG_CC_CCS,NaturalGas,2030,0.0,0.0,0.0
NG_GT,NaturalGas,2020,9.72120815975411,256675.2496472883,5359.23789849859
NG_GT,NaturalGas,2030,0.0,0.0,0.0
Nuclear,Uranium,2030,0.0,0.0,0.0
Residential_PV,Solar,2020,0.0,0.0,0.0
Residential_PV,Solar,2030,1.4604156,0.0,0.0
Wind,Wind,2020,1.293166820293123e-15,0.0,0.0
Wind,Wind,2030,58.42931006355586,0.0,0.0
