component,npv_cost
TotalGenFixedCosts,70577189.0385963
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,28558583.55475417
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,21652729.1770113
