PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,46633242.6393118,6658238.139659754
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,14778326.78062371,2110031.6735888915
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,43865569.79773279,10201886.20022212
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,12880514.997290283,2995642.113131779
2030,TxFixedCosts,annual,1582466.694089654,368036.82713312836
2020,GenVariableOMCostsInTP,timepoint,11472187.67503373,1637985.1196290604
2030,GenVariableOMCostsInTP,timepoint,3851789.9286389546,895816.985857717
