component,npv_cost
TotalGenFixedCosts,69540970.55772907
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,29399404.17182243
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,21848127.04081026
