PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,47177546.82271277,6735953.234480151
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,14629843.013490025,2088831.3404039023
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,35252444.54443715,8198717.791204369
2030,LocalTDFixedCosts,annual,11068169.15288621,2574141.921858498
2030,FuelCostsPerPeriod,annual,10721199.18458533,2493446.557639538
2030,TxFixedCosts,annual,1135860.7374502695,264168.960672362
2020,GenVariableOMCostsInTP,timepoint,11497408.837646851,1641586.166807703
2030,GenVariableOMCostsInTP,timepoint,7913140.950934066,1840371.932702429
