TECH_TYPE,prev_gen_tech,hsj_coefficients
Biomass_IGCC,0.0,0.0
Biomass_IGCC_CCS,0.0,0.0
Central_PV,96.17881522678069,1.1891262960265732e-19
Coal_IGCC,1893.0769567701689,3.4939727014942255e-17
Coal_IGCC_CCS,0.0,0.0
Coal_ST,416.1188374823053,0.12872903165297414
Commercial_PV,0.0,4.024421084954567e-17
Geothermal,642.3279420730338,0.1974719338458421
NG_CC,155.1238313819382,0.39964537254118154
NG_CC_CCS,7.070062778696542e-14,0.0
NG_GT,4.7899052448874625e-15,0.032034971793178546
Nuclear,0.0,0.0
Residential_PV,0.0,5.6584052787771104e-18
Wind,49.35613706577152,0.2421186901668236
