PERIODS,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,80706921.61001404,11523236.926812511,8.215880616926945,1402556.52
2030,54026166.81927706,12564952.610121302,6.793239611749241,1849626.0
