TECH_TYPE,prev_gen_tech,hsj_coefficients
Biomass_IGCC,0.0,0.31986675072245807
Biomass_IGCC_CCS,0.0,0.0
Central_PV,256.67489698571524,0.40234453467180414
Coal_IGCC,812.0979991015812,0.6778532348631191
Coal_IGCC_CCS,0.0,0.0
Coal_ST,420.28531597791493,0.7733315375766316
Commercial_PV,83.64513226403996,0.08402268509491218
Geothermal,336.551886527028,1.1369197158177682
NG_CC,576.7541226578871,1.1742759992055998
NG_CC_CCS,0.0,-8.140114110245973e-19
NG_GT,224.3545567518707,0.29565762309499044
Nuclear,0.0,0.0
Residential_PV,13.245604744881456,0.01647158440386636
Wind,528.5730049890826,1.1192563345488493
