PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,29513358.011266537,4213881.660770301
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,24178422.239276875,3452165.965714767
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,42356915.78827134,9851016.108006196
2030,LocalTDFixedCosts,annual,11068169.152886217,2574141.9218584998
2030,FuelCostsPerPeriod,annual,7439114.94182683,1730126.9404874314
2030,TxFixedCosts,annual,1422228.2995183938,330769.92569174373
2020,GenVariableOMCostsInTP,timepoint,14395190.845452566,2055327.9868656308
2030,GenVariableOMCostsInTP,timepoint,2285559.5441795257,531556.2633990044
