PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,46633242.639311835,6658238.13965976
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,14778326.780623723,2110031.6735888934
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,43622942.40022316,10145457.955704542
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,13015249.777966645,3026977.5980236945
2030,TxFixedCosts,annual,1541047.5663612345,358403.9139042287
2020,GenVariableOMCostsInTP,timepoint,11472187.675033787,1637985.1196290688
2030,GenVariableOMCostsInTP,timepoint,4001101.6732007368,930542.6587122998
