TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Central,North,1,0.770052391048486
Central,North,2,0.0
Central,North,3,0.220069990485305
Central,North,4,0.0
Central,North,5,0.0
Central,North,6,0.0
Central,North,7,0.0
Central,South,1,0.0
Central,South,2,0.0
Central,South,3,0.0
Central,South,4,0.0
Central,South,5,0.895731300691997
Central,South,6,1.41571781448291
Central,South,7,5.9791432555559
North,Central,1,0.0
North,Central,2,0.0
North,Central,3,0.0
North,Central,4,0.0
North,Central,5,0.316715913674762
North,Central,6,0.0
North,Central,7,0.370363495512144
South,Central,1,0.97611139770338
South,Central,2,0.0
South,Central,3,0.278686906776451
South,Central,4,0.0
South,Central,5,0.0
South,Central,6,0.0
South,Central,7,0.0
