component,npv_cost
TotalGenFixedCosts,67045273.52663317
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,33898526.55465838
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,19844701.68907024
