gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass_IGCC,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,BioSolid,2030,52.7141199800975,875524.1379942355,0.0
Biomass_IGCC_CCS,BioSolid,2030,0.0,0.0,0.0
Central_PV,Solar,2020,3.0413085383429464e-15,0.0,0.0
Central_PV,Solar,2030,29.20831199999985,0.0,0.0
Coal_IGCC,Coal,2020,0.0,0.0,0.0
Coal_IGCC,Coal,2030,0.0,0.0,0.0
Coal_IGCC_CCS,Coal,2030,0.0,0.0,0.0
Coal_ST,Coal,2020,29.664062784,103824.219744,26209.97931343104
Coal_ST,Coal,2030,14.832072,50429.044799999996,12750.835656959998
Commercial_PV,Solar,2020,0.0,0.0,0.0
Commercial_PV,Solar,2030,18.57305016,0.0,0.0
Geothermal,Geothermal,2020,33.96222243424799,1126000.5036962752,0.0
Geothermal,Geothermal,2030,0.0,0.0,0.0
NG_CC,NaturalGas,2020,59.89735355097287,226922.52624921268,21309.519749975032
NG_CC,NaturalGas,2030,-3.9881374798345306e-14,-1.0222362182604862e-10,0.0
NG_CC_CCS,NaturalGas,2030,-1.392784284440569e-13,-1.295289384529729e-09,0.0
NG_GT,NaturalGas,2020,24.860857576846126,624580.0362253353,13705.626700455254
NG_GT,NaturalGas,2030,1.8905137301953496e-13,5.787099549225781e-09,6.692431632870954e-11
Nuclear,Uranium,2030,0.0,0.0,0.0
Residential_PV,Solar,2020,0.0,0.0,0.0
Residential_PV,Solar,2030,14.475295800000001,0.0,0.0
Wind,Wind,2020,1.0644610193288884e-15,0.0,0.0
Wind,Wind,2030,67.24637693721442,0.0,0.0
