PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,29921066.881372545,4272093.84150613
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,22629292.209267963,3230983.048436729
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,34980610.191355325,8135496.838000312
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,6547372.307709972,1522732.9201864186
2030,TxFixedCosts,annual,802287.8994302305,186589.3886148835
2020,GenVariableOMCostsInTP,timepoint,12740129.11199669,1819020.2687337243
2030,GenVariableOMCostsInTP,timepoint,7233376.647194738,1682278.0540249362
