component,npv_cost
TotalGenFixedCosts,64901677.07272787
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,29176664.51697794
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,19973505.75919143
