component,npv_cost
TotalGenFixedCosts,73610441.48123659
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,31449826.24277352
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,22464888.46781616
