PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,31915340.429273915,4556833.813380997
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,21578739.329992697,3080986.3754062476
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,41695101.05196268,9697096.789128456
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,9871086.912780823,2295734.57773474
2030,TxFixedCosts,annual,802287.8994302305,186589.3886148835
2020,GenVariableOMCostsInTP,timepoint,12438554.75543394,1775961.8458327022
2030,GenVariableOMCostsInTP,timepoint,10026333.712382216,2331840.5758965136
