TECH_TYPE,prev_gen_tech,hsj_coefficients
Biomass_IGCC,0.0,0.21721611765410043
Biomass_IGCC_CCS,0.0,0.0
Central_PV,257.2739109296582,0.23992829868163829
Coal_IGCC,738.6339700646129,0.4507337649310893
Coal_IGCC_CCS,0.0,0.0
Coal_ST,420.34275756184303,0.5150682713663073
Commercial_PV,83.7285769925495,0.03258478013686213
Geothermal,643.2453734607885,0.7660656946328003
NG_CC,561.6703844603285,0.8288646448266773
NG_CC_CCS,0.0,-8.140114110245973e-19
NG_GT,239.38085336550068,0.14844518843403495
Nuclear,0.0,0.0
Residential_PV,13.296267615762206,0.008263843379799112
Wind,294.610425548956,0.7928293959566903
