component,npv_cost
TotalGenFixedCosts,68494162.48892769
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,30019345.71264102
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,22274993.56879308
