PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,80811865.34505993,11538220.666729664,8.226563779925007,1402556.52
2030,67394531.92716022,15674054.809010169,8.474175216508726,1849626.0
