component,npv_cost
TotalGenFixedCosts,79661108.66720495
LocalTDFixedCosts,25308765.15391766
FuelCostsPerPeriod,28179933.79766349
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,19684113.72695788
