PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,29513358.011266537,4213881.660770301
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,25671628.961602114,3665364.220570865
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,33908646.01135021,7886188.40257924
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,12407413.927539144,2885612.2355521666
2030,TxFixedCosts,annual,1040700.8863927833,242037.48088548056
2020,GenVariableOMCostsInTP,timepoint,16668288.647555292,2379878.1494652713
2030,GenVariableOMCostsInTP,timepoint,9117407.645550467,2120450.1769802263
