component,npv_cost
TotalGenFixedCosts,65424566.70843576
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,28598206.23449425
TxFixedCosts,2398398.145753939
GenVariableOMCostsInTP,19739806.60815396
