PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,30099034.122056004,4297503.789484521
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,22686709.21491946,3239180.9792529657
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,40525589.01055501,9425101.490509374
2030,LocalTDFixedCosts,annual,11068169.152886221,2574141.9218585007
2030,FuelCostsPerPeriod,annual,10718990.205598291,2492932.8118396234
2030,TxFixedCosts,annual,802287.8994302305,186589.3886148835
2020,GenVariableOMCostsInTP,timepoint,12854913.920827048,1835409.1052964977
2030,GenVariableOMCostsInTP,timepoint,10639919.717870487,2474543.261189427
