component,npv_cost
TotalGenFixedCosts,78293134.29588264
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,33077485.67560068
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,22891190.64180748
