TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Central,North,1,0.889244576898543
Central,North,2,1.62842092325546
Central,North,3,0.994841197806674
Central,North,4,1.31163106053107
Central,North,5,0.732689622563454
Central,North,6,1.18998679841554
Central,North,7,2.30051797342486
Central,South,1,0.0
Central,South,2,0.0
Central,South,3,0.0
Central,South,4,0.0
Central,South,5,0.895731300692003
Central,South,6,3.14246791575861
Central,South,7,11.7953672290997
North,Central,1,0.0
North,Central,2,0.0
North,Central,3,0.0
North,Central,4,0.0
North,Central,5,0.0
North,Central,6,0.0
North,Central,7,0.0
South,Central,1,0.0
South,Central,2,0.0
South,Central,3,0.0
South,Central,4,0.0
South,Central,5,0.0
South,Central,6,0.0
South,Central,7,0.0
