PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,36260563.10155234,5177239.465753307
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,19371865.95074476,2765891.656028499
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,46119120.22246127,10725998.051169293
2030,LocalTDFixedCosts,annual,11068169.152886221,2574141.9218585007
2030,FuelCostsPerPeriod,annual,10317674.368098754,2399598.1413133848
2030,TxFixedCosts,annual,1422228.299518393,330769.9256917435
2020,GenVariableOMCostsInTP,timepoint,11885056.263402896,1696933.9987153644
2030,GenVariableOMCostsInTP,timepoint,2950935.8854781403,686303.9104841555
