component,npv_cost
TotalGenFixedCosts,78452891.98199394
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,28272306.18448783
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,20799958.02534456
