component,npv_cost
TotalGenFixedCosts,68714895.93671672
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,29990408.19614084
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,22083197.63750422
