component,npv_cost
TotalGenFixedCosts,76530933.06421018
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,25563284.61211626
TxFixedCosts,2425238.811356763
GenVariableOMCostsInTP,18378175.63061931
