PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,85273565.18672676,12175256.788864069,8.680760179892122,1402556.52
2030,62932832.085493416,14636390.092602305,7.913161954147652,1849626.0
