PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,41824761.575024724,5971689.012812666
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,16602377.598775573,2370467.4494158574
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,34706171.489185445,8071670.187135322
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,8960907.013340686,2084052.5729497974
2030,TxFixedCosts,annual,1118396.3628463,260107.24294957172
2020,GenVariableOMCostsInTP,timepoint,11298987.563384548,1613255.8165845461
2030,GenVariableOMCostsInTP,timepoint,7079188.067234767,1646418.1677091138
