PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,45910921.3157952,6555105.972280224
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,15047141.893505769,2148412.7711881273
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,40581413.49792794,9438084.681426316
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,11795656.24748637,2743334.766849757
2030,TxFixedCosts,annual,940850.3363699669,218815.07768726634
2020,GenVariableOMCostsInTP,timepoint,11448537.025102898,1634608.308356999
2030,GenVariableOMCostsInTP,timepoint,9339578.196532942,2172120.7397613577
