PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,33674139.618715145,4807953.040360686
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,20677765.672447074,2952346.4432467385
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,41539759.21151723,9660968.687164545
2030,LocalTDFixedCosts,annual,11068169.152886217,2574141.9218584998
2030,FuelCostsPerPeriod,annual,10519019.996416984,2446425.4182981914
2030,TxFixedCosts,annual,802287.8994302305,186589.3886148835
2020,GenVariableOMCostsInTP,timepoint,12186622.48662167,1739991.260347343
2030,GenVariableOMCostsInTP,timepoint,8927849.206108231,2076364.265492047
