PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,46633242.639311835,6658238.13965976
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,14791011.917727409,2111842.8421650063
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,45678194.08752401,10623451.149987442
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,14869859.424570736,3458307.1498278296
2030,TxFixedCosts,annual,802287.8994302305,186589.3886148835
2020,GenVariableOMCostsInTP,timepoint,11485820.915109536,1639931.6572040252
2030,GenVariableOMCostsInTP,timepoint,7540336.050511933,1753668.096720608
