component,npv_cost
TotalGenFixedCosts,92311436.72683585
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,29660871.34229814
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,19026156.96562147
