component,npv_cost
TotalGenFixedCosts,80358745.53279427
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,29621971.37088322
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,24281093.70961336
