PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,37110395.433449805,5298577.501118355
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,23837346.27993354,3403467.5516116396
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,43248350.09934446,10058338.421120465
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,5784625.090949677,1345339.5718085098
2030,TxFixedCosts,annual,802287.8994302305,186589.3886148835
2020,GenVariableOMCostsInTP,timepoint,18416042.429322395,2629420.3264591214
2030,GenVariableOMCostsInTP,timepoint,5865051.280290966,1364044.4201659055
