TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Central,North,1,0.0
Central,North,2,0.0
Central,North,3,0.0
Central,North,4,0.0
Central,North,5,0.0
Central,North,6,1.87001719217485
Central,North,7,0.0
Central,South,1,0.0
Central,South,2,3.48130137275608
Central,South,3,0.0
Central,South,4,3.34091151003169
Central,South,5,0.404101372756079
Central,South,6,1.14331797149992
Central,South,7,3.88157087391764
North,Central,1,0.0
North,Central,2,0.0
North,Central,3,0.0
North,Central,4,0.0
North,Central,5,0.0
North,Central,6,0.0
North,Central,7,0.607182745512144
South,Central,1,0.0
South,Central,2,0.0
South,Central,3,0.0
South,Central,4,0.0
South,Central,5,0.0
South,Central,6,0.0
South,Central,7,0.0
