,generation_project,timepoint,load_zone,TECH_TYPE,period,total_dispatch_GWh,ccs_value_x,dispatch_after_ccs,ccs_load,ccs_value_y,zonal_dispatch,proportion,tx_losses,prev_gen_tech
44,N-Central_PV-1,4,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,48.5968827877508,0.0,0.0,0.0
45,N-Central_PV-2,4,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,48.5968827877508,0.0,0.0,0.0
46,N-Wind-1,4,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,48.5968827877508,0.0,0.0,0.0
47,N-Wind-2,4,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,48.5968827877508,0.0,0.0,0.0
48,N-Geothermal,5,North,Geothermal,2020,21.22644713625,0.0,21.22644713625,0.0,0.0,92.56599788806764,0.22931149256249983,0.0,20.101445438028748
49,N-Coal_IGCC,5,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,92.56599788806764,0.0,0.0,0.0
50,N-Coal_ST,5,North,Coal_ST,2020,37.08018,0.0,37.08018,0.0,0.0,92.56599788806764,0.40058099999999974,0.0,35.11493046
51,N-NG_CC,5,North,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,92.56599788806764,0.0,0.0,0.0
52,N-NG_GT,5,North,NG_GT,2020,34.259370751817634,0.0,34.259370751817634,0.0,0.0,92.56599788806764,0.3701075074375003,0.0,32.443624101971295
53,N-Biomass_IGCC,5,North,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,92.56599788806764,0.0,0.0,0.0
54,N-Residential_PV,5,North,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,92.56599788806764,0.0,0.0,0.0
55,N-Commercial_PV,5,North,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,92.56599788806764,0.0,0.0,0.0
56,N-Central_PV-1,5,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,92.56599788806764,0.0,0.0,0.0
57,N-Central_PV-2,5,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,92.56599788806764,0.0,0.0,0.0
58,N-Wind-1,5,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,92.56599788806764,0.0,0.0,0.0
59,N-Wind-2,5,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,92.56599788806764,0.0,0.0,0.0
60,N-Geothermal,6,North,Geothermal,2020,21.22644713625,0.0,21.22644713625,0.0,0.0,99.50682713625,0.21331649040709164,0.0,20.101445438028748
61,N-Coal_IGCC,6,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,99.50682713625,0.0,0.0,0.0
62,N-Coal_ST,6,North,Coal_ST,2020,37.08018,0.0,37.08018,0.0,0.0,99.50682713625,0.37263955717558817,0.0,35.11493046
63,N-NG_CC,6,North,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,99.50682713625,0.0,0.0,0.0
64,N-NG_GT,6,North,NG_GT,2020,41.200199999999995,0.0,41.200199999999995,0.0,0.0,99.50682713625,0.41404395241732017,0.0,39.016589399999994
65,N-Biomass_IGCC,6,North,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,99.50682713625,0.0,0.0,0.0
66,N-Residential_PV,6,North,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,99.50682713625,0.0,0.0,0.0
67,N-Commercial_PV,6,North,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,99.50682713625,0.0,0.0,0.0
68,N-Central_PV-1,6,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,99.50682713625,0.0,0.0,0.0
69,N-Central_PV-2,6,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,99.50682713625,0.0,0.0,0.0
70,N-Wind-1,6,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,99.50682713625,0.0,0.0,0.0
71,N-Wind-2,6,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,99.50682713625,0.0,0.0,0.0
72,N-Geothermal,7,North,Geothermal,2030,0.0,0.0,0.0,0.0,0.803041032,608.6216268000001,0.0,2.1290255788637835,0.0
73,N-Coal_IGCC,7,North,Coal_IGCC,2030,0.0,0.0,0.0,0.0,0.803041032,608.6216268000001,0.0,2.1290255788637835,0.0
74,N-Coal_IGCC_CCS,7,North,Coal_IGCC_CCS,2030,0.0,0.234104046,0.0,0.0,0.803041032,608.6216268000001,0.0,2.1290255788637835,0.0
75,N-Coal_ST,7,North,Coal_ST,2030,148.32072,0.0,148.32072,0.0,0.803041032,608.6216268000001,0.24369939132764315,2.1290255788637835,139.96837824090747
76,N-NG_CC,7,North,NG_CC,2030,0.0,0.0,0.0,0.0,0.803041032,608.6216268000001,0.0,2.1290255788637835,0.0
77,N-NG_CC_CCS,7,North,NG_CC_CCS,2030,0.0,0.334821429,0.0,0.0,0.803041032,608.6216268000001,0.0,2.1290255788637835,0.0
78,N-NG_GT,7,North,NG_GT,2030,0.0,0.0,0.0,0.0,0.803041032,608.6216268000001,0.0,2.1290255788637835,0.0
79,N-Nuclear,7,North,Nuclear,2030,0.0,0.0,0.0,0.0,0.803041032,608.6216268000001,0.0,2.1290255788637835,0.0
80,N-Biomass_IGCC,7,North,Biomass_IGCC,2030,0.0,0.0,0.0,0.0,0.803041032,608.6216268000001,0.0,2.1290255788637835,0.0
81,N-Biomass_IGCC_CCS,7,North,Biomass_IGCC_CCS,2030,0.0,0.234115557,0.0,0.0,0.803041032,608.6216268000001,0.0,2.1290255788637835,0.0
82,N-Residential_PV,7,North,Residential_PV,2030,0.0,0.0,0.0,0.0,0.803041032,608.6216268000001,0.0,2.1290255788637835,0.0
83,N-Commercial_PV,7,North,Commercial_PV,2030,0.0,0.0,0.0,0.0,0.803041032,608.6216268000001,0.0,2.1290255788637835,0.0
84,N-Central_PV-1,7,North,Central_PV,2030,105.665364,0.0,105.665364,0.0,0.803041032,608.6216268000001,0.173614211764977,2.1290255788637835,99.71506095247629
85,N-Central_PV-2,7,North,Central_PV,2030,0.0,0.0,0.0,0.0,0.803041032,608.6216268000001,0.0,2.1290255788637835,0.0
86,N-Wind-1,7,North,Wind,2030,278.828928,0.0,278.828928,0.0,0.803041032,608.6216268000001,0.45813181083626914,2.1290255788637835,263.12731531245777
87,N-Wind-2,7,North,Wind,2030,75.80661479999999,0.0,75.80661479999999,0.0,0.803041032,608.6216268000001,0.12455458607111065,2.1290255788637835,71.53773885057444
88,C-Coal_IGCC,1,Central,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,42.81153959873293,0.0,0.0,0.0
89,C-Coal_ST,1,Central,Coal_ST,2020,18.539988479999998,0.0,18.539988479999998,0.0,0.0,42.81153959873293,0.4330605405405396,0.0,17.557369090559998
90,C-NG_CC,1,Central,NG_CC,2020,3.671563918732843,0.0,3.671563918732843,0.0,0.0,42.81153959873293,0.08576108108108096,0.0,3.4769710310400024
91,C-NG_GT,1,Central,NG_GT,2020,20.59998720000011,0.0,20.59998720000011,0.0,0.0,42.81153959873293,0.48117837837838,0.0,19.508187878400104
92,C-Biomass_IGCC,1,Central,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,42.81153959873293,0.0,0.0,0.0
93,C-Residential_PV,1,Central,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,42.81153959873293,0.0,0.0,0.0
94,C-Commercial_PV,1,Central,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,42.81153959873293,0.0,0.0,0.0
95,C-Central_PV-1,1,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,42.81153959873293,0.0,0.0,0.0
96,C-Central_PV-2,1,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,42.81153959873293,0.0,0.0,0.0
97,C-Wind-1,1,Central,Wind,2020,-1.9464323486317877e-14,0.0,-1.9464323486317877e-14,-0.0,0.0,42.81153959873293,-4.546513315978469e-16,0.0,-1.8432714341543028e-14
98,C-Wind-2,1,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,42.81153959873293,0.0,0.0,0.0
99,C-Coal_IGCC,2,Central,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,72.85821004800009,0.0,2.2887690548335446,0.0
100,C-Coal_ST,2,Central,Coal_ST,2020,18.539988479999998,0.0,18.539988479999998,0.0,0.0,72.85821004800009,0.2544667027612341,2.2887690548335446,17.00582159807713
101,C-NG_CC,2,Central,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,72.85821004800009,0.0,2.2887690548335446,0.0
102,C-NG_GT,2,Central,NG_GT,2020,20.59998720000011,0.0,20.59998720000011,0.0,0.0,72.85821004800009,0.2827407808458172,2.2887690548335446,18.895357331196912
103,C-Biomass_IGCC,2,Central,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,72.85821004800009,0.0,2.2887690548335446,0.0
104,C-Residential_PV,2,Central,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,72.85821004800009,0.0,2.2887690548335446,0.0
105,C-Commercial_PV,2,Central,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,72.85821004800009,0.0,2.2887690548335446,0.0
106,C-Central_PV-1,2,Central,Central_PV,2020,13.100715264,0.0,13.100715264,0.0,0.0,72.85821004800009,0.1798111050953496,2.2887690548335446,12.016643204882396
107,C-Central_PV-2,2,Central,Central_PV,2020,20.617519104,0.0,20.617519104,0.0,0.0,72.85821004800009,0.28298141129759935,2.2887690548335446,18.911438486372294
108,C-Wind-1,2,Central,Wind,2020,-1.2165202178948714e-14,0.0,-1.2165202178948714e-14,-0.0,0.0,72.85821004800009,-1.6697091749761758e-16,2.2887690548335446,-1.1158542961497083e-14
109,C-Wind-2,2,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,72.85821004800009,0.0,2.2887690548335446,0.0
110,C-Coal_IGCC,3,Central,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,41.65447096092935,0.0,0.0,0.0
111,C-Coal_ST,3,Central,Coal_ST,2020,18.539988479999998,0.0,18.539988479999998,0.0,0.0,41.65447096092935,0.4450899999999989,0.0,17.557369090559998
112,C-NG_CC,3,Central,NG_CC,2020,2.514495280929263,0.0,2.514495280929263,0.0,0.0,41.65447096092935,0.060365555555555714,0.0,2.381227031040012
113,C-NG_GT,3,Central,NG_GT,2020,20.59998720000011,0.0,20.59998720000011,0.0,0.0,41.65447096092935,0.4945444444444459,0.0,19.508187878400104
114,C-Biomass_IGCC,3,Central,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,41.65447096092935,0.0,0.0,0.0
115,C-Residential_PV,3,Central,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,41.65447096092935,0.0,0.0,0.0
116,C-Commercial_PV,3,Central,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,41.65447096092935,0.0,0.0,0.0
117,C-Central_PV-1,3,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,41.65447096092935,0.0,0.0,0.0
118,C-Central_PV-2,3,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,41.65447096092935,0.0,0.0,0.0
119,C-Wind-1,3,Central,Wind,2020,-1.9464323486317877e-14,0.0,-1.9464323486317877e-14,-0.0,0.0,41.65447096092935,-4.672805352533425e-16,0.0,-1.8432714341543028e-14
120,C-Wind-2,3,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,41.65447096092935,0.0,0.0,0.0
121,C-Coal_IGCC,4,Central,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,74.79110246400009,0.0,2.1964702449889004,0.0
122,C-Coal_ST,4,Central,Coal_ST,2020,18.539988479999998,0.0,18.539988479999998,0.0,0.0,74.79110246400009,0.24789029535864945,2.1964702449889004,17.041743066645385
123,C-NG_CC,4,Central,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,74.79110246400009,0.0,2.1964702449889004,0.0
124,C-NG_GT,4,Central,NG_GT,2020,20.59998720000011,0.0,20.59998720000011,0.0,0.0,74.79110246400009,0.275433661509612,2.1964702449889004,18.93527007405053
125,C-Biomass_IGCC,4,Central,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,74.79110246400009,0.0,2.1964702449889004,0.0
126,C-Residential_PV,4,Central,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,74.79110246400009,0.0,2.1964702449889004,0.0
127,C-Commercial_PV,4,Central,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,74.79110246400009,0.0,2.1964702449889004,0.0
128,C-Central_PV-1,4,Central,Central_PV,2020,13.745012736,0.0,13.745012736,0.0,0.0,74.79110246400009,0.1837787154242848,2.1964702449889004,12.634256798345136
129,C-Central_PV-2,4,Central,Central_PV,2020,21.906114048000003,0.0,21.906114048000003,0.0,0.0,74.79110246400009,0.29289732770745397,2.1964702449889004,20.135846772362562
130,C-Wind-1,4,Central,Wind,2020,-1.4598242614738433e-14,0.0,-1.4598242614738433e-14,-0.0,0.0,74.79110246400009,-1.9518688899879693e-16,2.1964702449889004,-1.3418535838536071e-14
131,C-Wind-2,4,Central,Wind,2020,0.0,0.0,0.0,0.0,0.0,74.79110246400009,0.0,2.1964702449889004,0.0
132,C-Coal_IGCC,5,Central,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,78.2803800000002,0.0,0.5313528950369687,0.0
133,C-Coal_ST,5,Central,Coal_ST,2020,37.08018,0.0,37.08018,0.0,0.0,78.2803800000002,0.47368421052631454,0.5313528950369687,34.87657673766315
134,C-NG_CC,5,Central,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,78.2803800000002,0.0,0.5313528950369687,0.0
135,C-NG_GT,5,Central,NG_GT,2020,41.20020000000022,0.0,41.20020000000022,0.0,0.0,78.2803800000002,0.5263157894736856,0.5313528950369687,38.75175193073704
136,C-Biomass_IGCC,5,Central,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,78.2803800000002,0.0,0.5313528950369687,0.0
137,C-Residential_PV,5,Central,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,78.2803800000002,0.0,0.5313528950369687,0.0
138,C-Commercial_PV,5,Central,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,78.2803800000002,0.0,0.5313528950369687,0.0
139,C-Central_PV-1,5,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,78.2803800000002,0.0,0.5313528950369687,0.0
140,C-Central_PV-2,5,Central,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,78.2803800000002,0.0,0.5313528950369687,0.0
