component,npv_cost
TotalGenFixedCosts,79475878.63136894
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,33113194.08383004
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,21672737.89809195
