PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,30581910.361739762,4366448.276589254
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,22274709.283501737,3180356.125958501
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,43443026.653954566,10103614.660894427
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,11046627.534999555,2569131.9531002743
2030,TxFixedCosts,annual,1009543.9454051381,234791.26095106127
2020,GenVariableOMCostsInTP,timepoint,12635435.85945154,1804072.2924059206
2030,GenVariableOMCostsInTP,timepoint,7336190.4522042405,1706189.626206839
