load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid
North,2025011500,0.687142,4.59269,5.27983
North,2025011512,0,4.22386,4.22386
North,2025011600,0.159159,4.59269,4.75185
North,2025011612,0,4.43506,4.43506
North,2025061500,0,4.22386,4.22386
North,2025061512,1.74311,4.59269,6.3358
North,2035011512,0.86478,5.47102,6.3358
Central,2025011500,15.4313,-11.5243,3.90707
Central,2025011512,15.4313,-12.2634,3.1679
Central,2025011600,15.4313,-11.6299,3.80148
Central,2025011612,15.4313,-11.9466,3.48469
Central,2025061500,15.4313,-12.2634,3.1679
Central,2025061512,15.4313,-11.2075,4.22386
Central,2035011512,22.3518,-17.4943,4.85744
South,2025011500,0,6.3358,6.3358
South,2025011512,0,7.39176,7.39176
South,2025011600,0.428722,6.43506,6.86378
South,2025011612,0.715769,6.88719,7.60296
South,2025061500,1.05597,7.39176,8.44773
South,2025061512,4.52165,6.03801,10.5597
South,2035011512,0,11.0876,11.0876
