PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,63053200.48259381,9002659.916402815
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,18140843.385469064,2590127.7388954703
2020,TxFixedCosts,annual,1786994.4395667587,255144.9107863045
2030,TotalGenFixedCosts,annual,40740196.68503004,9475013.142923422
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,9783984.906162305,2275477.1238037744
2030,TxFixedCosts,annual,1566585.3683024603,364343.28162268165
2020,GenVariableOMCostsInTP,timepoint,5109986.719400111,729597.7406379809
2030,GenVariableOMCostsInTP,timepoint,2925803.396171614,680458.8069777893
