TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
N-C,2020,North,Central,N-C,100,0.96,1,4.78405116568185,4.78405116568185,59510.212140459815
N-C,2030,North,Central,N-C,100,0.96,1,5.6989763067581976,5.6989763067581976,70891.23365391459
C-S,2020,Central,South,C-S,200,0.94,1,7.86357815273316,7.86357815273316,195634.6986458447
C-S,2030,Central,South,C-S,200,0.94,1,11.795367229099739,11.795367229099739,293452.04796876706
