component,npv_cost
TotalGenFixedCosts,82875497.97735469
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,29538595.1979797
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,21847717.4379565
