component,npv_cost
TotalGenFixedCosts,64491693.97037555
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,29626274.2040033
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,19933879.17451841
