PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,31729142.82188957,4530248.743571703
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,23594209.74297332,3368752.8101115786
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,44105833.314036116,10257764.673081223
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,9957730.494322225,2315885.415007364
2030,TxFixedCosts,annual,802287.8994302305,186589.3886148835
2020,GenVariableOMCostsInTP,timepoint,14600784.876470346,2084682.4546472686
2030,GenVariableOMCostsInTP,timepoint,10274109.363599246,2389466.1580685414
