PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,29513358.011266544,4213881.660770302
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,23065711.46776671,3293294.4637996573
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,46696426.68629132,10860263.145041417
2030,LocalTDFixedCosts,annual,11068169.152886217,2574141.9218584998
2030,FuelCostsPerPeriod,annual,8093596.291466438,1882340.7218193263
2030,TxFixedCosts,annual,802287.8994302305,186589.3886148835
2020,GenVariableOMCostsInTP,timepoint,13072288.076354325,1866445.5250475863
2030,GenVariableOMCostsInTP,timepoint,7083775.658680963,1647485.111238698
