component,npv_cost
TotalGenFixedCosts,76209784.69755787
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,31159307.75923315
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,20156063.73503529
