PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,81198796.00492947,11593466.159668542,8.265952918366914,1402556.52
2030,73744255.68875517,17150820.288572825,9.27258823598545,1849626.0
