PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,29513358.011266537,4213881.660770301
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,24178422.239276875,3452165.965714767
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,39634440.54031777,9217845.655858567
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,5574329.136470338,1296430.7030565944
2030,TxFixedCosts,annual,808731.174660797,188087.9115102215
2020,GenVariableOMCostsInTP,timepoint,14395190.84545256,2055327.98686563
2030,GenVariableOMCostsInTP,timepoint,7486317.722347181,1741104.9671589914
