PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,41824761.575024724,5971689.012812666
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,16602377.598775573,2370467.4494158574
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,38131406.69130686,8868282.65340821
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,9527464.600550516,2215817.7832785104
2030,TxFixedCosts,annual,1471298.1829399555,342182.18749144825
2020,GenVariableOMCostsInTP,timepoint,11298987.563384542,1613255.8165845452
2030,GenVariableOMCostsInTP,timepoint,2734493.45780992,635965.5465656474
