component,npv_cost
TotalGenFixedCosts,79956168.26633158
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,26129842.19932609
TxFixedCosts,2778140.631450419
GenVariableOMCostsInTP,14033481.02119446
