PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,85273565.18672676,12175256.788864069,8.680760179892122,1402556.52
2030,62932832.085493475,14636390.092602318,7.913161954147659,1849626.0
