TECH_TYPE,prev_gen_tech,hsj_coefficients
Biomass_IGCC,-6.182326789670141e-15,0.44556385524210196
Biomass_IGCC_CCS,0.0,0.0
Central_PV,270.3493790058581,0.5650997074867197
Coal_IGCC,418.25220157638796,0.9275618518018698
Coal_IGCC_CCS,0.0,0.0
Coal_ST,420.34275756184303,1.031795085297757
Commercial_PV,83.7367777523782,0.13558813462241526
Geothermal,643.2453734607883,1.4381934770419127
NG_CC,546.3765507622745,1.5481618246688145
NG_CC_CCS,0.0,-8.140114110245973e-19
NG_GT,397.8752416674394,0.4144309116164097
Nuclear,0.0,0.0
Residential_PV,13.301246648515356,0.024693795566781557
Wind,458.7029915645153,1.4689113566552168
