PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,44809482.2806738,6397843.835291854
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,15740048.040939024,2247345.075204138
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,50792726.225311555,11812946.12469501
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,6772470.3111958,1575084.3253100403
2030,TxFixedCosts,annual,802287.8994302305,186589.3886148835
2020,GenVariableOMCostsInTP,timepoint,11128691.684232635,1588941.1763531952
2030,GenVariableOMCostsInTP,timepoint,5018392.070938046,1167135.5245555956
