TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Central,North,1,0.0
Central,North,2,0.343301812355116
Central,North,3,0.340528815077915
Central,North,4,0.563294772580389
Central,North,5,0.0
Central,North,6,0.584898081274516
Central,North,7,0.0
Central,South,1,0.0
Central,South,2,2.60046924137117
Central,South,3,0.0
Central,South,4,2.57570383866405
Central,South,5,0.895731300691994
Central,South,6,3.14246791575861
Central,South,7,3.95239264652339
North,Central,1,0.0
North,Central,2,0.0
North,Central,3,0.0
North,Central,4,0.0
North,Central,5,0.0
North,Central,6,0.0
North,Central,7,0.854497091976466
South,Central,1,0.0
South,Central,2,0.0
South,Central,3,0.0
South,Central,4,0.0
South,Central,5,0.0
South,Central,6,0.0
South,Central,7,0.0
