component,npv_cost
TotalGenFixedCosts,86393160.02453044
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,28683165.09641283
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,19185485.49234759
